sys_RespNum,sys_RespStatus,sys_DataSource,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_SumPageTimes,sys_StartTimeStamp,sys_EndTimeStamp,sys_RespRemoved,sys_DispositionCode,sys_LastQuestion,sys_UserJavaScript,sys_UserAgent,sys_OperatingSystem,sys_Browser,sys_IPAddress,sys_ScreenWidth,sys_CAPIDeviceID,Consent,CBCwatchexercise_Random1,CBCwatchexercise_Random2,CBCwatchexercise_Random3,CBCwatchexercise_Random4,CBCwatchexercise_Fixed1,CBCwatchexercise_Random5,CBCwatchexercise_Random6,CBCwatchexercise_Fixed2,CBCwatchexercise_Random7,CBCwatchexercise_Fixed3,CBCwatchexercise_Random8,CBCwatchexercise_Random9,CBCwatchexercise_Random10,CBCwatchexercise_Random11,CBCwatchexercise_Random12,PilotTestOpenEnded,OwnWatch,LuxuryWatch,IMC,DemoAge,DemoGender,DemoGender_4_other,DemoEducation,sys_CBCVersion_CBCwatchexercise,sys_CBCDesignID_CBCwatchexercise,sys_pagetime_1,sys_pagetime_2,sys_pagetime_3,sys_pagetime_4,sys_pagetime_5,sys_pagetime_6,sys_pagetime_7,sys_pagetime_8,sys_pagetime_9,sys_pagetime_10,sys_pagetime_11,sys_pagetime_12,sys_pagetime_13,sys_pagetime_14,sys_pagetime_15,sys_pagetime_16,sys_pagetime_17,sys_pagetime_18,sys_pagetime_19,sys_pagetime_20,sys_pagetime_21,sys_pagetime_22,sys_pagetime_23,OwnWatchSegment,PROLIFICPID,OpenEndProdCatShoes,OpenEndProdCatCars,OpenEndProdCatWatches,WarmUp1,WarmUp2,WarmUp3,DemoOwnWatch,DemoTypeOfWatch,DemoWatchUseCase_1,DemoWatchUseCase_2,DemoWatchUseCase_3,DemoWatchUseCase_4,DemoWatchWTP,DemoBrandRecognition,OpenEndedIdealWatch,DemoAestheticImportance1_1,DemoAestheticImportance2_1,DemoTimeSpentGrooming,DemoIncome,DemoRentOwn,DemoSocialMedia,sys_pagetime_24,sys_pagetime_25,sys_pagetime_26,sys_pagetime_27,sys_pagetime_28,sys_pagetime_29,sys_pagetime_30,DemoAge_real,DemoEducation_real,DemoIncome_real,DemoSocialMedia_real,DemoAestheticImportance1_1_real,DemoAestheticImportance2_1_real,DemoTimeSpentGrooming_real,DemoOwnWatch_real,DemoWatchWTP_real
17,5.0,1.0,06 Mar 2023 - 00:01:13 EST,06 Mar 2023 - 00:08:16 EST,423.0,423.0,1678078873.0,1678079296.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Windows 10.0,Chrome 109.0.0.0,209.122.36.188,1263.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,5.0,4.0,2.0,,4.0,17.0,CBC1_1677959355_6,,92.0,8.0,15.0,11.0,16.0,106.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,4.0,4.0,11.0,4.0,4.0,2.0,4.0,4.0,2.0,,5c69f9dd4b5bb30001b3d31c,shoes,cars,watches,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,not tacky,4.0,4.0,5.0,8.0,1.0,6.0,6.0,4.0,5.0,17.0,35.0,12.0,18.0,0.5,0.0,1.5,2.5,1.0,1.0,1.5,4.0,-2.0
18,2.0,1.0,06 Mar 2023 - 00:05:15 EST,06 Mar 2023 - 00:05:56 EST,41.0,40.0,1678079115.0,1678079156.0,0.0,,WarmUp1,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,47.147.180.60,1920.0,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,11.0,4.0,3.0,7.0,10.0,,,,,,,,,,,,,,,,,,63c620c70601542671941689,shoes,cars,watches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.0,1.0,06 Mar 2023 - 00:15:37 EST,06 Mar 2023 - 00:18:29 EST,172.0,169.0,1678079737.0,1678079909.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",,Safari 604.1,2603:8001:c03d:a2dc:745b:61dc:69db:9603,414.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,5.0,2.0,2.0,,5.0,20.0,CBC1_1677959355_6,,6.0,5.0,4.0,5.0,8.0,3.0,7.0,3.0,3.0,6.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,,60fefd6de6b470fd133b7d5d,Shoes,Cars,Watches,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,2.0,Simple face and gold hardware,4.0,4.0,5.0,8.0,1.0,6.0,6.0,5.0,6.0,8.0,32.0,8.0,13.0,-1.5,1.0,1.5,2.5,1.0,1.0,1.5,1.0,0.0
21,5.0,1.0,06 Mar 2023 - 00:18:41 EST,06 Mar 2023 - 00:28:01 EST,560.0,558.0,1678079921.0,1678080481.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/95.0.0.0",Windows 10.0,Opera 95.0.0.0,67.4.72.68,1610.0,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,5.0,2.0,1.0,,5.0,21.0,CBC1_1677959355_6,,135.0,16.0,6.0,11.0,63.0,29.0,13.0,4.0,5.0,20.0,4.0,7.0,4.0,5.0,4.0,3.0,8.0,2.0,7.0,3.0,2.0,2.0,,6403ca78072a3f4cb2692c65,Shoes,Cars,Watches,1.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,5.0,"For the above question I have heard of all of the watch brands but the question does not allow multiple selections. To answer the actual question: My ideal watch design is generally steel with a black or white dial, I am a big fan of timeless watch designs, for example, I have an Omega Speedmaster and the next watch I am hoping to get is a Rolex Submariner.",5.0,4.0,5.0,12.0,2.0,5.0,6.0,2.0,8.0,21.0,124.0,13.0,31.0,-1.5,1.0,5.5,1.5,2.0,1.0,1.5,1.0,3.0
22,5.0,1.0,06 Mar 2023 - 00:18:59 EST,06 Mar 2023 - 00:22:43 EST,224.0,223.0,1678079939.0,1678080163.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,2600:4040:29c9:9e00:ed37:8d4a:7a45:48c9,1349.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,5.0,5.0,2.0,,7.0,22.0,CBC1_1677959355_6,,13.0,9.0,4.0,4.0,8.0,5.0,6.0,3.0,5.0,3.0,7.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,,638b9983a3bbe44e543fe28d,shoes,vehicles,watches,2.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,"I have heard of all of the watch brands named above except for Audemar's Piguet. However, the question only allowed me to choose one answer. ideal watch: simple, measures physical activity and time, inobtrusive",4.0,4.0,2.0,12.0,2.0,6.0,4.0,3.0,6.0,10.0,63.0,10.0,16.0,1.5,3.0,5.5,2.5,1.0,1.0,-1.5,3.0,-2.0
23,5.0,1.0,06 Mar 2023 - 00:19:25 EST,06 Mar 2023 - 00:23:34 EST,249.0,248.0,1678079965.0,1678080214.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,2600:1700:7fd0:32e0:e887:20d4:a4aa:7b6c,1440.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,5.0,2.0,1.0,,5.0,23.0,CBC1_1677959355_6,,6.0,5.0,4.0,3.0,8.0,3.0,5.0,6.0,1.0,4.0,1.0,11.0,3.0,3.0,2.0,3.0,2.0,64.0,8.0,3.0,5.0,3.0,,6301c3ad615e5e0f5f371624,shoes,cars,watches,1.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,4.0,4.0,"My ideal watch would be sleek, but at the same time, you can easily tell the time. It's either black or silver in color and more minimal.",4.0,3.0,4.0,7.0,1.0,6.0,3.0,1.0,8.0,8.0,58.0,7.0,10.0,-1.5,1.0,0.5,2.5,1.0,0.0,0.5,2.0,0.0
24,5.0,1.0,06 Mar 2023 - 00:21:36 EST,06 Mar 2023 - 00:24:06 EST,150.0,147.0,1678080096.0,1678080246.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,173.52.239.86,1903.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,5.0,2.0,1.0,,3.0,24.0,CBC1_1677959355_6,,5.0,2.0,4.0,2.0,8.0,2.0,6.0,2.0,3.0,7.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,,5e54a8f48564974aac82a5e1,shoes,cars,watch,2.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,simple and minimalistic,4.0,4.0,4.0,11.0,2.0,6.0,3.0,3.0,5.0,6.0,37.0,9.0,14.0,-1.5,-1.0,4.5,2.5,1.0,1.0,0.5,4.0,-2.0
25,5.0,1.0,06 Mar 2023 - 00:24:44 EST,06 Mar 2023 - 00:26:49 EST,125.0,121.0,1678080284.0,1678080409.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Windows 10.0,Chrome 110.0.0.0,184.103.36.19,1423.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,5.0,1.0,1.0,,2.0,25.0,CBC1_1677959355_6,,3.0,4.0,3.0,2.0,8.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,,63eb0109a6975b6d40c18171,shoe,car,watch,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,A watch that makes my eyes focus on the time rather than the design.,3.0,5.0,2.0,2.0,3.0,6.0,3.0,2.0,3.0,4.0,34.0,5.0,10.0,-2.5,-2.0,-4.5,2.5,0.0,2.0,-1.5,4.0,-3.0
26,5.0,1.0,06 Mar 2023 - 00:25:18 EST,06 Mar 2023 - 00:28:10 EST,172.0,170.0,1678080318.0,1678080490.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Mac OS X 10.15.7,Chrome 110.0.0.0,24.144.1.35,1242.0,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,5.0,3.0,2.0,,6.0,26.0,CBC1_1677959355_6,,12.0,7.0,5.0,6.0,7.0,10.0,10.0,6.0,6.0,5.0,8.0,6.0,4.0,4.0,3.0,9.0,2.0,5.0,3.0,6.0,3.0,3.0,,5d3bdd3e3dcf870019c76307,shoes,cars,watches,1.0,2.0,2.0,5.0,,,,,,,,,3.0,2.0,4.0,6.0,1.0,5.0,4.0,4.0,4.0,,,8.0,20.0,-0.5,2.0,-0.5,1.5,0.0,-1.0,0.5,5.0,
27,5.0,1.0,06 Mar 2023 - 00:27:46 EST,06 Mar 2023 - 00:41:04 EST,798.0,796.0,1678080466.0,1678081264.0,0.0,,TerminateComplete,1.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Windows 10.0,Chrome 109.0.0.0,73.223.196.37,1255.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,5.0,3.0,1.0,,5.0,27.0,CBC1_1677959355_6,,22.0,33.0,13.0,12.0,22.0,30.0,17.0,72.0,21.0,12.0,10.0,5.0,10.0,6.0,26.0,12.0,6.0,4.0,4.0,4.0,4.0,10.0,,5dedf0483711364928753ecd,shoes,cars,watches,1.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,Modern and casual design with dark colored bands. Doesn't try to appear luxurious.,4.0,4.0,4.0,8.0,1.0,5.0,6.0,4.0,15.0,34.0,325.0,27.0,30.0,-0.5,1.0,1.5,1.5,1.0,1.0,0.5,4.0,-2.0
28,4.0,1.0,06 Mar 2023 - 00:30:12 EST,06 Mar 2023 - 00:31:07 EST,55.0,55.0,1678080612.0,1678080667.0,0.0,,TeminateIncomplete,1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",Mac OS X 10.15.7,Safari 15.1,74.83.221.228,1440.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,7.0,6.0,2.0,3.0,37.0,,,,,,,,,,,,,,,,,,,60b9bb59251f1f055eddce4b,shoes,cars,watches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
