sys_RespNum,Task,Concept,dialcolor,dialshape,strapcolor,dialsize,knobsize,rimcolor,Response
15,12,2,1,3,3,3,1,1,0
15,13,1,2,2,2,1,1,2,0
15,13,2,1,3,1,2,3,2,1
15,14,1,3,1,2,2,2,2,1
15,14,2,3,2,3,3,3,1,0
15,15,1,1,3,1,1,2,3,1
15,15,2,2,1,2,3,1,3,0
17,1,1,1,1,1,1,1,1,1
17,1,2,3,3,3,3,3,3,0
17,2,1,3,3,3,3,3,3,0
17,2,2,1,1,1,1,1,1,1
17,3,1,1,1,1,1,1,1,1
17,3,2,3,3,3,3,3,3,0
17,4,1,1,2,1,3,3,2,1
17,4,2,2,3,2,2,2,3,0
17,5,1,1,1,1,2,3,3,1
17,5,2,3,1,2,1,1,1,0
17,6,1,2,3,3,3,1,2,1
17,6,2,3,2,3,1,3,3,0
17,7,1,2,2,1,1,1,2,1
17,7,2,1,1,3,2,2,1,0
17,8,1,1,1,3,1,2,3,0
17,8,2,3,3,2,3,3,1,1
17,9,1,2,1,2,2,1,3,1
17,9,2,3,3,1,3,2,2,0
17,10,1,3,3,3,1,2,2,0
17,10,2,1,2,1,3,1,1,1
17,11,1,2,2,3,2,2,3,0
17,11,2,1,3,2,3,3,2,1
17,12,1,2,1,1,1,3,1,0
17,12,2,3,2,2,1,1,3,1
17,13,1,2,3,1,2,3,1,1
17,13,2,1,1,2,3,2,1,0
17,14,1,1,1,2,2,2,2,1
17,14,2,3,2,3,3,1,3,0
17,15,1,3,3,3,1,3,3,0
17,15,2,1,2,1,2,2,3,1
22,1,1,1,1,1,1,1,1,1
22,1,2,3,3,3,3,3,3,0
22,2,1,3,3,3,3,3,3,0
22,2,2,1,1,1,1,1,1,1
22,3,1,1,1,1,1,1,1,1
22,3,2,3,3,3,3,3,3,0
22,4,1,1,3,1,3,1,1,0
22,4,2,3,1,1,1,3,2,1
22,5,1,2,3,1,1,2,1,1
22,5,2,1,2,3,2,2,3,0
22,6,1,3,1,3,2,1,1,0
22,6,2,1,2,2,3,3,1,1
22,7,1,2,3,3,3,3,2,0
22,7,2,2,2,2,1,1,2,1
22,8,1,2,3,3,1,3,1,1
22,8,2,3,1,1,2,2,3,0
22,9,1,3,1,1,1,2,2,1
22,9,2,1,1,2,3,1,1,0
22,10,1,3,2,2,3,3,3,0
22,10,2,2,2,1,2,2,2,1
22,11,1,2,1,2,1,1,3,1
22,11,2,3,3,3,2,1,1,0
22,12,1,1,2,1,3,1,3,0
22,12,2,1,3,3,1,2,2,1
22,13,1,1,1,3,3,2,3,0
22,13,2,1,3,2,2,3,2,1
22,14,1,3,3,1,3,2,1,0
22,14,2,2,2,1,2,3,3,1
22,15,1,2,1,2,1,3,1,1
22,15,2,3,2,3,2,1,1,0
23,1,1,1,1,1,1,1,1,1
23,1,2,3,3,3,3,3,3,0
23,2,1,3,3,3,3,3,3,0
23,2,2,1,1,1,1,1,1,1
23,3,1,1,1,1,1,1,1,1
23,3,2,3,3,3,3,3,3,0
23,4,1,2,1,1,2,1,2,1
23,4,2,1,3,3,1,2,3,0
23,5,1,2,1,3,3,2,2,0
23,5,2,3,2,2,3,3,3,1
23,6,1,3,2,1,1,3,2,1
23,6,2,3,3,2,2,1,1,0
23,7,1,2,2,2,1,2,3,1
23,7,2,1,1,3,2,3,2,0
23,8,1,1,1,3,1,1,1,0
23,8,2,1,3,1,3,1,2,1
23,9,1,2,1,1,2,3,1,0
23,9,2,3,2,3,2,2,3,1
23,10,1,2,3,2,3,2,1,0
23,10,2,3,2,1,3,3,3,1
23,11,1,1,2,1,1,1,2,1
23,11,2,1,3,3,2,3,3,0
23,12,1,3,1,2,2,1,2,1
23,12,2,2,3,2,1,1,3,0
23,13,1,1,2,2,2,2,2,1
23,13,2,2,1,3,3,2,1,0
23,14,1,1,2,1,1,1,1,1
23,14,2,3,3,3,3,3,1,0
23,15,1,2,3,1,3,1,3,0
23,15,2,3,1,1,1,2,3,1
24,1,1,1,1,1,1,1,1,1
24,1,2,3,3,3,3,3,3,0
24,2,1,3,3,3,3,3,3,0
24,2,2,1,1,1,1,1,1,1
24,3,1,1,1,1,1,1,1,1
24,3,2,3,3,3,3,3,3,0
24,4,1,2,3,2,2,3,2,1
24,4,2,3,2,3,1,3,1,0
24,5,1,3,1,3,1,3,1,0
24,5,2,1,2,2,3,2,2,1
24,6,1,2,3,1,1,1,3,0
24,6,2,1,1,2,2,3,1,1
24,7,1,2,1,3,3,1,3,0
24,7,2,1,3,1,3,2,2,1
24,8,1,2,1,1,3,3,2,0
24,8,2,3,2,2,1,2,1,1
24,9,1,3,3,3,2,1,2,1
24,9,2,1,2,3,1,3,3,0
24,10,1,2,1,2,3,2,2,0
24,10,2,3,3,1,2,2,1,1
24,11,1,1,3,2,2,2,3,0
24,11,2,3,2,2,3,1,2,1
24,12,1,3,3,3,1,3,3,1
24,12,2,2,2,1,2,1,3,0
24,13,1,1,1,1,2,2,2,1
24,13,2,1,1,2,1,3,1,0
24,14,1,1,3,3,3,1,3,1
24,14,2,2,2,2,2,1,1,0
24,15,1,2,2,3,3,3,2,0
24,15,2,3,1,1,1,1,2,1
25,1,1,1,1,1,1,1,1,1
25,1,2,3,3,3,3,3,3,0
25,2,1,3,3,3,3,3,3,0
25,2,2,1,1,1,1,1,1,1
25,3,1,1,1,1,1,1,1,1
25,3,2,3,3,3,3,3,3,0
25,4,1,2,3,3,1,3,3,0
25,4,2,1,3,1,2,2,1,1
25,5,1,3,1,2,3,2,3,0
25,5,2,2,2,3,2,1,1,1
25,6,1,1,2,1,3,3,3,1
25,6,2,3,1,2,1,2,2,0
25,7,1,3,2,1,2,1,2,1
25,7,2,1,3,2,3,3,1,0
25,8,1,3,3,3,1,2,2,1
25,8,2,2,1,3,1,1,1,0
25,9,1,1,1,2,2,1,1,1
25,9,2,2,2,1,3,2,2,0
25,10,1,3,3,1,1,3,1,1
25,10,2,1,1,3,2,3,3,0
25,11,1,2,1,1,3,2,3,1
25,11,2,2,2,2,2,2,2,0
25,12,1,1,3,1,1,3,2,1
25,12,2,3,2,3,3,1,1,0
25,13,1,3,1,2,3,1,3,0
25,13,2,1,3,3,2,2,3,1
25,14,1,2,3,1,3,3,1,1
25,14,2,2,2,3,1,3,2,0
25,15,1,3,2,2,3,2,1,0
25,15,2,1,1,2,1,1,3,1
27,1,1,1,1,1,1,1,1,1
27,1,2,3,3,3,3,3,3,0
27,2,1,3,3,3,3,3,3,0
27,2,2,1,1,1,1,1,1,1
27,3,1,1,1,1,1,1,1,1
27,3,2,3,3,3,3,3,3,0
27,4,1,3,3,3,3,2,1,0
27,4,2,1,3,2,1,1,2,1
27,5,1,1,2,1,2,3,3,1
27,5,2,2,1,3,3,3,2,0
27,6,1,3,2,3,3,2,3,0
27,6,2,2,1,1,1,2,1,1
27,7,1,2,2,2,2,1,1,1
27,7,2,1,1,1,3,3,2,0
27,8,1,1,3,3,2,2,1,0
27,8,2,3,3,2,1,1,3,1
27,9,1,2,3,1,1,3,3,1
27,9,2,1,2,2,3,1,2,0
27,10,1,3,2,3,3,3,1,0
27,10,2,3,1,1,2,1,3,1
27,11,1,1,1,2,1,3,1,0
27,11,2,2,3,2,2,2,2,1
27,12,1,3,3,3,1,1,2,0
27,12,2,1,2,2,2,2,1,1
27,13,1,3,1,1,2,1,3,1
27,13,2,2,2,3,1,2,3,0
27,14,1,3,3,2,2,3,3,1
27,14,2,2,1,3,3,2,2,0
27,15,1,1,1,2,3,2,3,0
27,15,2,3,2,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
29,1,2,3,3,3,3,3,3,0
29,2,1,3,3,3,3,3,3,0
29,2,2,1,1,1,1,1,1,1
29,3,1,1,1,1,1,1,1,1
29,3,2,3,3,3,3,3,3,0
29,4,1,3,2,3,1,2,2,0
29,4,2,2,1,2,3,1,3,1
29,5,1,1,1,2,1,2,3,1
29,5,2,1,3,3,3,3,1,0
29,6,1,1,3,3,1,1,1,0
29,6,2,2,2,1,2,3,2,1
29,7,1,2,3,3,2,1,3,0
29,7,2,3,2,2,1,3,2,1
29,8,1,1,2,1,3,3,3,1
29,8,2,3,1,3,3,2,1,0
29,9,1,3,1,1,3,1,2,1
29,9,2,3,2,2,2,2,1,0
29,10,1,2,1,1,2,2,1,1
29,10,2,1,3,3,1,1,2,0
29,11,1,2,3,3,3,3,3,0
29,11,2,3,3,1,1,2,3,1
29,12,1,1,1,2,1,2,2,1
29,12,2,2,2,2,2,1,1,0
29,13,1,3,1,3,1,3,1,1
29,13,2,2,3,2,3,1,2,0
29,14,1,1,3,2,2,3,3,1
29,14,2,3,2,3,3,1,3,0
29,15,1,1,2,2,2,3,1,0
29,15,2,1,1,1,3,1,2,1
30,1,1,1,1,1,1,1,1,1
30,1,2,3,3,3,3,3,3,0
30,2,1,3,3,3,3,3,3,0
30,2,2,1,1,1,1,1,1,1
30,3,1,1,1,1,1,1,1,1
30,3,2,3,3,3,3,3,3,0
30,4,1,2,3,2,3,2,1,1
30,4,2,3,2,1,1,2,2,0
30,5,1,3,3,1,3,1,3,1
30,5,2,2,1,3,1,3,2,0
30,6,1,2,3,1,1,3,1,1
30,6,2,3,1,3,2,2,3,0
30,7,1,1,2,2,2,3,3,0
30,7,2,2,1,1,2,1,2,1
30,8,1,1,2,3,1,1,1,1
30,8,2,2,3,3,3,2,3,0
30,9,1,3,1,1,2,3,2,0
30,9,2,1,2,2,1,2,2,1
30,10,1,3,3,1,2,1,1,1
30,10,2,1,1,2,1,3,1,0
30,11,1,1,2,3,1,3,3,0
30,11,2,2,1,3,3,2,2,1
30,12,1,1,1,1,2,2,3,0
30,12,2,2,2,1,3,1,1,1
30,13,1,2,2,3,2,2,3,0
30,13,2,3,3,2,3,3,1,1
30,14,1,3,1,3,2,1,2,0
30,14,2,1,3,2,1,2,1,1
30,15,1,3,3,2,1,2,1,0
30,15,2,2,2,1,3,3,3,1
31,1,1,1,1,1,1,1,1,1
31,1,2,3,3,3,3,3,3,0
31,2,1,3,3,3,3,3,3,0
31,2,2,1,1,1,1,1,1,1
31,3,1,1,1,1,1,1,1,1
31,3,2,3,3,3,3,3,3,0
31,4,1,2,1,2,1,1,2,0
31,4,2,3,2,2,3,3,2,1
31,5,1,1,3,1,3,1,2,1
31,5,2,2,1,3,2,3,3,0
31,6,1,3,3,3,1,2,1,0
31,6,2,3,2,1,2,1,3,1
31,7,1,1,2,3,3,2,1,1
31,7,2,2,1,2,1,3,3,0
31,8,1,1,3,1,3,1,1,1
31,8,2,2,2,2,2,2,2,0
31,9,1,3,2,1,2,3,2,1
31,9,2,2,3,3,1,1,3,0
31,10,1,1,1,1,2,1,1,1
31,10,2,3,3,3,3,3,3,0
31,11,1,1,2,3,3,1,1,0
31,11,2,1,1,2,1,2,2,1
31,12,1,3,1,1,1,3,2,0
31,12,2,3,2,2,2,1,3,1
31,13,1,2,1,3,3,3,2,0
31,13,2,2,3,1,2,2,3,1
31,14,1,1,3,3,1,3,2,0
31,14,2,2,1,2,2,2,1,1
31,15,1,1,3,2,3,2,2,1
31,15,2,2,2,1,1,1,3,0
33,1,1,1,1,1,1,1,1,1
33,1,2,3,3,3,3,3,3,0
33,2,1,3,3,3,3,3,3,0
33,2,2,1,1,1,1,1,1,1
33,3,1,1,1,1,1,1,1,1
33,3,2,3,3,3,3,3,3,0
33,4,1,2,2,1,1,3,1,1
33,4,2,1,3,3,2,1,2,0
33,5,1,3,2,2,2,1,1,0
33,5,2,3,3,1,3,2,2,1
33,6,1,1,1,3,1,2,2,0
33,6,2,1,1,2,3,3,3,1
33,7,1,2,2,1,2,2,3,0
33,7,2,2,3,3,3,1,2,1
33,8,1,3,1,2,1,2,1,0
33,8,2,3,2,3,2,3,2,1
33,9,1,1,1,3,2,2,3,0
33,9,2,2,3,2,3,3,1,1
33,10,1,3,2,2,3,1,2,1
33,10,2,1,1,1,1,1,3,0
33,11,1,3,2,3,1,1,1,0
33,11,2,2,3,1,3,3,1,1
33,12,1,1,2,1,2,2,1,0
33,12,2,3,3,2,1,3,3,1
33,13,1,1,3,1,2,2,2,1
33,13,2,2,1,1,1,1,2,0
33,14,1,3,1,2,3,2,3,1
33,14,2,2,2,3,3,3,1,0
33,15,1,1,1,2,2,3,3,1
33,15,2,3,3,3,1,1,2,0
34,1,1,1,1,1,1,1,1,1
34,1,2,3,3,3,3,3,3,0
34,2,1,3,3,3,3,3,3,0
34,2,2,1,1,1,1,1,1,1
34,3,1,1,1,1,1,1,1,1
34,3,2,3,3,3,3,3,3,0
34,4,1,1,2,2,2,1,2,1
34,4,2,2,1,3,1,2,1,0
34,5,1,2,2,1,3,2,2,0
34,5,2,3,3,1,1,1,3,1
34,6,1,2,1,1,3,2,1,0
34,6,2,1,3,2,2,3,2,1
34,7,1,2,3,3,2,1,3,0
34,7,2,3,1,1,1,3,1,1
34,8,1,1,2,3,2,3,2,0
34,8,2,2,3,2,3,1,3,1
34,9,1,2,2,2,1,2,1,1
34,9,2,3,1,3,3,1,3,0
34,10,1,1,3,3,2,3,3,0
34,10,2,1,2,1,1,2,2,1
34,11,1,3,2,2,1,3,3,0
34,11,2,1,1,1,3,3,1,1
34,12,1,1,3,3,3,2,1,0
34,12,2,3,1,2,2,1,1,1
34,13,1,2,3,1,3,2,2,0
34,13,2,3,1,2,2,3,2,1
34,14,1,1,2,2,2,2,2,1
34,14,2,2,3,3,1,1,3,0
34,15,1,3,3,1,2,1,1,1
34,15,2,2,2,3,1,3,3,0
35,1,1,1,1,1,1,1,1,1
35,1,2,3,3,3,3,3,3,0
35,2,1,3,3,3,3,3,3,0
35,2,2,1,1,1,1,1,1,1
35,3,1,1,1,1,1,1,1,1
35,3,2,3,3,3,3,3,3,0
35,4,1,3,1,1,1,3,2,1
35,4,2,1,1,2,3,1,1,0
35,5,1,2,2,2,3,2,3,0
35,5,2,1,1,1,1,1,1,1
35,6,1,1,2,3,3,2,3,1
35,6,2,2,2,2,2,3,2,0
35,7,1,3,1,3,1,2,2,0
35,7,2,3,3,3,2,1,3,1
35,8,1,2,3,2,1,3,1,0
35,8,2,3,3,1,2,2,3,1
35,9,1,2,1,1,3,1,2,1
35,9,2,1,2,1,3,3,1,0
35,10,1,3,3,3,2,3,1,1
35,10,2,1,1,3,3,1,2,0
35,11,1,1,2,1,2,1,1,1
35,11,2,2,1,2,1,2,3,0
35,12,1,3,3,1,3,2,2,1
35,12,2,2,2,3,1,1,3,0
35,13,1,1,2,2,1,3,2,0
35,13,2,3,1,3,3,2,1,1
35,14,1,2,3,2,3,3,2,0
35,14,2,1,3,1,2,3,3,1
35,15,1,2,1,3,1,1,1,0
35,15,2,3,2,2,1,2,2,1
36,1,1,1,1,1,1,1,1,1
36,1,2,3,3,3,3,3,3,0
36,2,1,3,3,3,3,3,3,0
36,2,2,1,1,1,1,1,1,1
36,3,1,1,1,1,1,1,1,1
36,3,2,3,3,3,3,3,3,0
36,4,1,1,2,3,3,3,3,1
36,4,2,2,1,1,2,2,3,0
36,5,1,1,3,2,3,1,1,1
36,5,2,3,2,1,1,3,1,0
36,6,1,3,3,2,3,2,2,1
36,6,2,2,2,3,2,1,1,0
36,7,1,3,3,1,1,1,3,1
36,7,2,1,1,3,2,3,3,0
36,8,1,2,1,2,3,1,2,0
36,8,2,2,1,2,2,2,1,1
36,9,1,2,3,3,1,1,2,0
36,9,2,1,2,2,2,2,1,1
36,10,1,1,3,3,1,2,3,0
36,10,2,3,1,1,3,3,3,1
36,11,1,3,1,3,2,3,1,0
36,11,2,2,2,2,1,3,2,1
36,12,1,1,3,1,3,2,2,1
36,12,2,3,2,1,3,1,1,0
36,13,1,2,2,1,2,2,2,1
36,13,2,1,1,2,3,3,3,0
36,14,1,1,2,3,1,1,1,0
36,14,2,3,3,3,2,3,3,1
36,15,1,1,2,1,3,1,3,1
36,15,2,2,3,2,1,2,1,0
39,1,1,1,1,1,1,1,1,1
39,1,2,3,3,3,3,3,3,0
39,2,1,3,3,3,3,3,3,0
39,2,2,1,1,1,1,1,1,1
39,3,1,1,1,1,1,1,1,1
39,3,2,3,3,3,3,3,3,0
39,4,1,2,1,3,2,3,1,0
39,4,2,1,3,1,1,1,2,1
39,5,1,3,2,1,2,3,3,1
39,5,2,1,1,2,1,2,1,0
39,6,1,1,1,3,1,1,3,0
39,6,2,3,2,3,3,2,3,1
39,7,1,2,2,2,2,2,3,0
39,7,2,3,1,2,3,1,2,1
39,8,1,2,3,1,1,3,3,0
39,8,2,1,1,1,3,2,1,1
39,9,1,3,2,3,3,3,1,1
39,9,2,1,3,3,2,1,2,0
39,10,1,1,2,2,1,3,2,1
39,10,2,2,1,1,2,2,3,0
39,11,1,2,3,2,2,3,1,0
39,11,2,3,2,2,1,1,3,1
39,12,1,3,2,1,1,1,2,1
39,12,2,1,1,3,2,3,2,0
39,13,1,3,3,1,1,2,1,1
39,13,2,2,3,2,3,1,2,0
39,14,1,3,1,1,2,1,1,1
39,14,2,1,2,3,3,2,3,0
39,15,1,3,1,2,1,2,3,1
39,15,2,1,3,3,3,3,1,0
46,1,1,1,1,1,1,1,1,1
46,1,2,3,3,3,3,3,3,0
46,2,1,3,3,3,3,3,3,0
46,2,2,1,1,1,1,1,1,1
46,3,1,1,1,1,1,1,1,1
46,3,2,3,3,3,3,3,3,0
46,4,1,1,3,1,2,2,3,0
46,4,2,3,2,2,3,2,2,1
46,5,1,1,1,1,1,1,1,1
46,5,2,2,1,3,1,3,3,0
46,6,1,2,2,3,2,3,2,0
46,6,2,2,3,2,3,3,1,1
46,7,1,1,2,1,1,1,1,0
46,7,2,3,1,1,3,1,2,1
46,8,1,2,3,1,1,2,1,0
46,8,2,3,1,2,2,3,3,1
46,9,1,3,3,2,3,1,3,1
46,9,2,1,2,3,1,1,2,0
46,10,1,3,3,1,2,3,2,1
46,10,2,2,1,2,3,2,1,0
46,11,1,1,2,1,2,2,3,1
46,11,2,2,3,3,2,1,2,0
46,12,1,3,2,2,3,1,3,1
46,12,2,1,1,3,3,2,1,0
46,13,1,2,3,1,1,2,3,0
46,13,2,1,1,2,1,3,2,1
46,14,1,3,3,3,2,2,1,1
46,14,2,2,2,3,2,3,1,0
46,15,1,1,1,1,2,1,3,1
46,15,2,3,2,3,1,3,1,0
49,1,1,1,1,1,1,1,1,1
49,1,2,3,3,3,3,3,3,0
49,2,1,3,3,3,3,3,3,0
49,2,2,1,1,1,1,1,1,1
49,3,1,1,1,1,1,1,1,1
49,3,2,3,3,3,3,3,3,0
49,4,1,3,3,3,3,1,2,1
49,4,2,2,2,2,1,3,1,0
49,5,1,3,1,2,2,2,1,0
49,5,2,2,3,1,1,2,3,1
49,6,1,1,2,3,1,3,2,0
49,6,2,2,2,1,1,1,1,1
49,7,1,1,3,3,3,2,2,0
49,7,2,3,1,2,2,1,3,1
49,8,1,3,1,3,2,1,3,0
49,8,2,2,3,1,1,3,1,1
49,9,1,3,2,1,1,2,1,1
49,9,2,2,1,3,3,3,2,0
49,10,1,1,1,2,2,3,2,0
49,10,2,1,3,2,2,1,3,1
49,11,1,2,2,3,3,1,2,0
49,11,2,3,3,1,1,3,3,1
49,12,1,1,1,1,3,2,3,0
49,12,2,3,3,2,2,2,1,1
49,13,1,2,1,2,1,3,3,0
49,13,2,2,2,1,1,1,2,1
49,14,1,1,2,1,2,3,1,1
49,14,2,2,3,3,3,2,3,0
49,15,1,3,2,3,3,3,1,1
49,15,2,1,3,2,1,1,1,0
50,1,1,1,1,1,1,1,1,1
50,1,2,3,3,3,3,3,3,0
50,2,1,3,3,3,3,3,3,0
50,2,2,1,1,1,1,1,1,1
50,3,1,1,1,1,1,1,1,1
50,3,2,3,3,3,3,3,3,0
50,4,1,3,1,1,3,2,2,1
50,4,2,1,2,3,2,2,2,0
50,5,1,2,1,1,3,1,3,1
50,5,2,1,1,3,1,1,1,0
50,6,1,1,2,2,2,3,3,1
50,6,2,2,3,3,2,2,2,0
50,7,1,3,3,2,3,3,2,1
50,7,2,3,1,3,2,1,1,0
50,8,1,2,2,2,3,2,1,0
50,8,2,1,2,1,2,2,3,1
50,9,1,2,1,1,2,1,2,0
50,9,2,3,1,1,1,3,3,1
50,10,1,1,2,2,1,3,2,1
50,10,2,2,3,2,1,1,3,0
50,11,1,3,2,3,1,2,2,0
50,11,2,2,3,2,3,3,1,1
50,12,1,1,3,3,3,2,1,0
50,12,2,1,1,1,1,1,1,1
50,13,1,3,1,3,2,1,3,0
50,13,2,2,3,1,2,3,2,1
50,14,1,3,2,1,2,2,3,1
50,14,2,1,2,2,3,1,2,0
50,15,1,1,2,3,2,3,3,1
50,15,2,2,1,2,3,2,1,0
51,1,1,1,1,1,1,1,1,0
51,1,2,3,3,3,3,3,3,1
51,2,1,3,3,3,3,3,3,1
51,2,2,1,1,1,1,1,1,0
51,3,1,1,1,1,1,1,1,0
51,3,2,3,3,3,3,3,3,1
51,4,1,3,3,1,1,2,2,0
51,4,2,3,3,3,3,3,3,1
51,5,1,1,1,3,1,1,1,1
51,5,2,2,2,2,2,3,2,0
51,6,1,2,3,1,3,3,1,0
51,6,2,2,1,3,1,2,3,1
51,7,1,1,1,2,3,1,2,1
51,7,2,3,3,2,2,1,3,0
51,8,1,2,1,1,2,2,1,0
51,8,2,1,2,3,1,1,3,1
51,9,1,2,1,2,1,3,2,0
51,9,2,3,2,1,2,2,1,1
51,10,1,1,3,3,1,3,3,0
51,10,2,3,3,2,3,2,2,1
51,11,1,2,1,1,1,3,3,0
51,11,2,3,2,3,3,1,1,1
51,12,1,1,2,1,2,1,2,0
51,12,2,3,2,2,1,2,1,1
51,13,1,2,3,2,1,1,2,0
51,13,2,3,1,1,3,3,3,1
51,14,1,1,3,2,3,2,2,0
51,14,2,2,1,3,2,3,1,1
51,15,1,2,3,1,2,1,1,0
51,15,2,3,2,3,2,2,2,1
52,1,1,1,1,1,1,1,1,1
52,1,2,3,3,3,3,3,3,0
52,2,1,3,3,3,3,3,3,0
52,2,2,1,1,1,1,1,1,1
52,3,1,1,1,1,1,1,1,1
52,3,2,3,3,3,3,3,3,0
52,4,1,3,2,3,3,3,3,0
52,4,2,1,3,2,1,2,1,1
52,5,1,1,1,3,3,1,3,0
52,5,2,2,2,1,2,2,2,1
52,6,1,3,1,1,1,1,3,0
52,6,2,1,1,2,2,3,1,1
52,7,1,1,2,1,3,1,1,1
52,7,2,3,3,3,1,3,2,0
52,8,1,2,3,2,2,2,3,1
52,8,2,3,1,1,3,3,1,0
52,9,1,1,3,3,2,2,2,0
52,9,2,2,2,3,3,1,3,1
52,10,1,1,3,2,1,3,1,0
52,10,2,2,2,2,1,1,2,1
52,11,1,3,1,2,3,2,3,1
52,11,2,1,1,1,1,3,3,0
52,12,1,2,2,3,3,2,2,1
52,12,2,3,2,3,2,1,1,0
52,13,1,3,3,1,3,1,1,0
52,13,2,3,1,2,1,3,2,1
52,14,1,1,2,1,1,2,3,0
52,14,2,2,3,1,2,1,1,1
52,15,1,2,1,2,2,1,3,1
52,15,2,3,3,3,3,3,2,0
54,1,1,1,1,1,1,1,1,1
54,1,2,3,3,3,3,3,3,0
54,2,1,3,3,3,3,3,3,0
54,2,2,1,1,1,1,1,1,1
54,3,1,1,1,1,1,1,1,1
54,3,2,3,3,3,3,3,3,0
54,4,1,1,3,3,3,2,1,0
54,4,2,3,2,2,2,3,3,1
54,5,1,2,2,2,1,1,2,0
54,5,2,2,1,1,2,3,1,1
54,6,1,3,1,3,3,2,3,0
54,6,2,1,2,1,1,1,2,1
54,7,1,1,3,1,2,3,2,1
54,7,2,3,3,2,1,1,1,0
54,8,1,2,1,2,3,2,1,0
54,8,2,3,2,3,1,2,3,1
54,9,1,2,1,3,1,1,2,0
54,9,2,1,3,3,3,3,3,1
54,10,1,3,3,1,3,1,1,0
54,10,2,1,2,2,2,2,3,1
54,11,1,2,1,2,2,2,3,0
54,11,2,3,3,2,3,3,2,1
54,12,1,1,1,1,3,1,2,1
54,12,2,3,2,2,1,3,1,0
54,13,1,2,1,3,2,1,3,0
54,13,2,3,3,1,1,3,1,1
54,14,1,1,3,2,2,1,2,1
54,14,2,2,2,1,3,2,1,0
54,15,1,2,2,3,2,2,3,1
54,15,2,1,1,3,1,3,3,0
58,1,1,1,1,1,1,1,1,0
58,1,2,3,3,3,3,3,3,1
58,2,1,3,3,3,3,3,3,1
58,2,2,1,1,1,1,1,1,0
